,workclass,education,age
128, ?, HS-grad,35
129, Private, Some-college,39
130, Private, Assoc-acdm,28
131, Private, HS-grad,24
132, Self-emp-not-inc, HS-grad,38
133, Private, Bachelors,37
134, Private, Assoc-acdm,46
135, Federal-gov, Masters,38
136, Self-emp-not-inc, HS-grad,43
137, Private, Assoc-voc,27
138, Private, Some-college,20
139, Private, Some-college,49
140, Self-emp-inc, HS-grad,61
141, Private, Some-college,27
142, Private, Some-college,19
143, Private, Assoc-voc,45
144, Private, Some-college,70
145, Private, HS-grad,31
146, Private, Some-college,22
147, Private, HS-grad,36
148, Private, 11th,64
149, ?, Some-college,43
150, Local-gov, Some-college,47
151, Private, HS-grad,34
152, Private, Bachelors,33
153, Private, HS-grad,21
154, ?, HS-grad,52
155, Private, HS-grad,48
156, Private, Bachelors,23
157, Self-emp-not-inc, Some-college,71
158, Private, HS-grad,29
159, Private, Bachelors,42
160, ?, 1st-4th,68
161, Private, HS-grad,25
162, Self-emp-inc, Masters,44
163, Private, HS-grad,28
164, Self-emp-not-inc, Masters,45
165, Private, Some-college,36
166, Federal-gov, Assoc-acdm,39
167, State-gov, Masters,46
168, Private, 11th,18
169, Local-gov, Assoc-voc,66
170, Private, HS-grad,27
171, State-gov, HS-grad,28
172, Private, Some-college,51
173, Private, Bachelors,27
174, State-gov, Bachelors,28
175, Private, HS-grad,27
176, Private, HS-grad,21
177, Private, HS-grad,34
178, Private, HS-grad,18
179, Private, Bachelors,33
180, Local-gov, Some-college,44
181, Private, Some-college,43
182, Private, Some-college,30
183, Private, 7th-8th,40
184, Federal-gov, Some-college,37
185, Private, HS-grad,34
186, Self-emp-not-inc, Bachelors,41
187, ?, Bachelors,53
188, Private, Masters,31
189, State-gov, Doctorate,58
190, Private, Some-college,38
191, Private, Some-college,24
192, Local-gov, Bachelors,41
193, Private, Some-college,47
194, Federal-gov, Bachelors,41
195, Private, 5th-6th,23
196, Private, Some-college,36
197, Federal-gov, Masters,40
198, Private, Masters,35
199, Self-emp-not-inc, HS-grad,24
200, Private, Masters,26
201, ?, HS-grad,19
202, Private, Bachelors,51
203, Local-gov, Some-college,42
204, State-gov, HS-grad,37
205, Private, 11th,18
206, Private, Bachelors,36
207, Private, HS-grad,35
208, Self-emp-inc, HS-grad,58
209, Private, 11th,17
210, Local-gov, HS-grad,44
211, Private, HS-grad,37
212, Private, Some-college,35
213, Private, HS-grad,60
214, Self-emp-inc, 7th-8th,54
215, Private, Bachelors,37
216, Private, Assoc-acdm,50
217, Private, Bachelors,38
218, Private, Bachelors,45
219, Private, 10th,25
220, Private, Some-college,31
221, ?, 1st-4th,64
222, Private, HS-grad,90
223, Private, HS-grad,54
224, Local-gov, Preschool,53
225, Private, HS-grad,18
226, ?, 10th,60
227, Self-emp-not-inc, HS-grad,66
228, Private, Assoc-voc,75
229, Private, HS-grad,65
230, Private, 11th,35
231, Private, HS-grad,41
232, Private, Some-college,25
233, Private, Some-college,33
234, Private, Prof-school,28
235, State-gov, HS-grad,59
236, State-gov, Some-college,40
237, Private, Bachelors,41
238, Local-gov, Masters,38
239, Private, HS-grad,23
240, Private, Bachelors,40
241, Self-emp-not-inc, HS-grad,41
242, State-gov, Assoc-acdm,24
243, ?, Some-college,20
244, Private, Some-college,38
245, Private, HS-grad,56
246, Private, HS-grad,58
247, Private, HS-grad,32
248, Private, Assoc-acdm,40
249, Private, HS-grad,45
250, Private, Prof-school,41
251, Private, Bachelors,42
252, Local-gov, 10th,59
253, Local-gov, Some-college,19
254, Private, Some-college,58
255, Self-emp-not-inc, HS-grad,42
256, Private, HS-grad,20
257, Private, HS-grad,32
258, Private, Assoc-voc,45
259, Private, 7th-8th,50
260, Private, Bachelors,36
261, Private, HS-grad,45
262, Private, 11th,17
263, Private, Some-college,59
264, Private, 11th,26
265, Self-emp-inc, Some-college,37
266, ?, Some-college,19
267, Private, HS-grad,64
268, Private, Bachelors,33
269, Private, HS-grad,33
270, Private, HS-grad,61
271, Private, 9th,17
272, Self-emp-not-inc, Masters,50
273, Local-gov, Masters,27
274, Private, HS-grad,30
275, Private, HS-grad,43
276, Private, Some-college,44
277, Private, Some-college,35
278, Private, Some-college,25
279, Private, Some-college,24
280, Private, Bachelors,22
281, Local-gov, Some-college,42
282, Private, Assoc-acdm,34
283, Private, Bachelors,60
284, Private, HS-grad,21
285, Federal-gov, Masters,57
286, Private, Prof-school,41
287, Private, Some-college,50
288, Private, Bachelors,25
289, Private, 7th-8th,50
290, Private, Bachelors,36
291, Private, HS-grad,31
292, Local-gov, Bachelors,29
293, Private, Some-college,21
294, Private, Bachelors,27
295, Private, HS-grad,65
296, Self-emp-inc, Bachelors,37
297, ?, Masters,39
298, Private, HS-grad,24
299, Private, HS-grad,38
300, Private, Bachelors,48
301, Private, Some-college,21
302, Private, HS-grad,31
303, Private, HS-grad,55
304, Private, Some-college,24
305, Private, HS-grad,43
306, Private, Assoc-acdm,26
307, Private, Assoc-acdm,46
308, Private, Assoc-acdm,35
309, Self-emp-inc, Some-college,41
310, Private, Bachelors,26
311, Private, Masters,34
312, ?, Some-college,19
313, Self-emp-not-inc, Bachelors,36
314, Private, Some-college,22
315, Private, Some-college,24
316, Self-emp-not-inc, Some-college,77
317, Private, 5th-6th,22
318, Private, Some-college,29
319, Private, HS-grad,62
320, Self-emp-not-inc, HS-grad,39
321, Private, Some-college,43
322, Private, HS-grad,35
323, Private, 11th,29
324, Self-emp-not-inc, Masters,76
325, Self-emp-not-inc, HS-grad,63
326, ?, Assoc-voc,23
327, Private, Some-college,43
328, Self-emp-not-inc, HS-grad,58
329, Private, HS-grad,66
330, Private, Some-college,41
331, Private, Bachelors,26
332, Private, Assoc-voc,47
333, Local-gov, 10th,55
334, Private, HS-grad,53
335, Private, 5th-6th,17
336, Private, HS-grad,30
337, Private, Masters,49
338, Private, HS-grad,19
339, Private, HS-grad,45
340, Private, Assoc-acdm,26
341, Private, Assoc-voc,38
342, State-gov, HS-grad,36
343, Private, HS-grad,33
344, State-gov, Some-college,22
345, Self-emp-not-inc, Bachelors,43
346, ?, 11th,67
347, ?, Assoc-voc,30
348, Private, Assoc-acdm,56
349, Private, Bachelors,31
350, Private, Bachelors,33
351, Private, HS-grad,26
352, Private, Bachelors,33
353, Local-gov, 11th,46
354, ?, Bachelors,59
355, Federal-gov, HS-grad,38
356, Private, 11th,65
357, Private, Assoc-voc,40
358, Private, HS-grad,42
359, Self-emp-not-inc, 9th,26
360, Private, 10th,36
361, Private, Masters,62
362, Private, Bachelors,43
363, Private, Bachelors,43
364, Private, HS-grad,22
365, Private, HS-grad,28
366, Self-emp-not-inc, Some-college,56
367, Private, Assoc-acdm,22
368, Private, Bachelors,57
369, Private, HS-grad,39
370, Federal-gov, Some-college,26
371, Private, 11th,17
372, State-gov, Assoc-voc,40
373, Private, HS-grad,45
374, Private, HS-grad,44
375, Local-gov, Some-college,20
376, Private, HS-grad,33
377, Private, Some-college,23
378, Self-emp-not-inc, Masters,46
379, Private, HS-grad,38
380, Private, HS-grad,54
381, Private, 5th-6th,46
382, Private, Some-college,25
383, Private, Some-college,46
384, Local-gov, Some-college,36
385, Private, HS-grad,23
386, Private, HS-grad,29
387, Private, Some-college,44
388, Private, Some-college,19
389, Private, HS-grad,19
390, Private, HS-grad,35
391, Private, Bachelors,27
392, Self-emp-not-inc, Assoc-acdm,46
393, State-gov, Bachelors,34
394, Private, HS-grad,34
395, Private, Some-college,44
396, Private, Some-college,45
397, ?, HS-grad,20
398, Private, Bachelors,25
399, Self-emp-inc, Bachelors,52
400, Private, Some-college,20
401, Private, Some-college,28
402, State-gov, Bachelors,50
403, Private, Assoc-voc,34
404, Private, 7th-8th,28
405, Private, Masters,41
406, Private, HS-grad,28
407, Self-emp-not-inc, HS-grad,46
408, ?, Some-college,28
409, Private, Some-college,32
410, Local-gov, Some-college,41
411, Private, HS-grad,24
412, Private, Some-college,33
413, Private, Doctorate,46
414, State-gov, Some-college,31
415, Private, 12th,35
416, Private, 1st-4th,52
417, Private, 11th,30
418, Local-gov, 11th,34
419, State-gov, HS-grad,34
420, Private, Some-college,20
421, Private, 11th,17
422, State-gov, Bachelors,32
423, Private, HS-grad,29
424, Private, 10th,33
425, Private, HS-grad,25
426, Federal-gov, Masters,36
427, Private, HS-grad,23
428, Self-emp-inc, HS-grad,63
429, Local-gov, Masters,47
430, ?, HS-grad,80
431, ?, 11th,17
432, Self-emp-not-inc, Bachelors,40
433, Private, Assoc-acdm,30
434, Private, Some-college,27
435, Private, Masters,33
436, Local-gov, HS-grad,34
437, Local-gov, Some-college,34
438, Private, Some-college,23
439, Local-gov, Some-college,42
440, Private, Bachelors,29
441, Private, HS-grad,45
442, Federal-gov, HS-grad,24
443, Private, Some-college,44
444, Private, 9th,27
445, Private, Some-college,20
446, Private, HS-grad,44
447, Private, HS-grad,51
448, Private, HS-grad,20
449, ?, 11th,17
450, Private, HS-grad,19
451, Self-emp-inc, Some-college,45
452, Private, HS-grad,60
453, Private, Assoc-acdm,42
454, Self-emp-not-inc, HS-grad,44
455, Private, Assoc-voc,40
456, Private, HS-grad,30
457, Private, Some-college,38
458, Private, HS-grad,23
459, ?, Some-college,32
460, Private, Assoc-acdm,44
461, Local-gov, HS-grad,54
462, Private, Bachelors,32
463, Private, 1st-4th,50
464, Private, Bachelors,24
465, Private, HS-grad,37
466, Private, HS-grad,52
467, Private, Some-college,38
468, Private, Masters,49
469, Private, Bachelors,30
470, Private, Some-college,60
471, ?, Some-college,22
472, Private, HS-grad,35
473, Private, HS-grad,30
474, Private, Assoc-voc,67
475, Private, Bachelors,46
476, Private, 9th,17
477, Private, Some-college,22
478, Private, 10th,27
479, Private, HS-grad,23
480, Private, Assoc-acdm,33
481, Self-emp-not-inc, Some-college,43
482, State-gov, Bachelors,28
483, Private, HS-grad,41
484, ?, 12th,52
485, Private, Some-college,25
486, ?, 1st-4th,63
487, Local-gov, HS-grad,59
488, Local-gov, Bachelors,45
489, Private, Bachelors,38
490, Private, HS-grad,40
491, Federal-gov, HS-grad,46
492, Private, Assoc-acdm,35
493, Private, HS-grad,34
494, Private, Bachelors,33
495, Private, HS-grad,41
496, Private, Some-college,20
497, Private, 5th-6th,23
498, Private, Some-college,26
499, ?, HS-grad,72
500, Local-gov, HS-grad,23
501, Local-gov, HS-grad,62
502, Private, Some-college,52
503, Private, Some-college,58
504, Private, Bachelors,25
505, Private, Bachelors,24
506, Private, Some-college,19
507, Private, Some-college,43
508, Local-gov, HS-grad,47
509, Private, HS-grad,39
510, Private, Assoc-voc,49
511, ?, 5th-6th,53
512, Private, Assoc-voc,32
513, Private, Some-college,34
514, Private, HS-grad,28
515, ?, Assoc-voc,57
516, Private, Some-college,25
517, ?, Some-college,20
518, ?, Some-college,21
519, Private, Bachelors,34
520, Self-emp-inc, Bachelors,38
521, Private, HS-grad,50
522, Local-gov, Some-college,24
523, Local-gov, Some-college,37
524, Private, Some-college,44
525, Private, Some-college,28
526, Private, Bachelors,42
527, Private, Some-college,74
528, Self-emp-not-inc, HS-grad,38
529, Self-emp-not-inc, Masters,44
530, Private, 11th,44
531, Private, HS-grad,26
532, Private, HS-grad,36
533, Private, Assoc-acdm,41
534, Private, Prof-school,67
535, Local-gov, 12th,39
536, Private, 1st-4th,57
537, Private, Assoc-voc,29
538, Self-emp-inc, Bachelors,31
539, ?, HS-grad,34
540, Private, Some-college,44
541, Private, Doctorate,29
542, Private, Some-college,30
543, Private, HS-grad,27
544, Private, Some-college,27
545, Private, HS-grad,32
546, Private, 10th,58
547, Local-gov, Some-college,35
548, Private, HS-grad,21
549, Private, Some-college,28
550, Self-emp-not-inc, Some-college,46
551, Self-emp-not-inc, HS-grad,36
552, Private, 11th,72
553, Private, HS-grad,35
554, Federal-gov, Assoc-voc,33
555, Private, 11th,69
556, Private, HS-grad,35
557, Private, HS-grad,31
558, Private, HS-grad,34
559, Private, 11th,30
560, Private, Bachelors,28
561, Private, Bachelors,54
562, Private, Some-college,47
563, Private, HS-grad,24
564, Self-emp-not-inc, Bachelors,52
565, Private, HS-grad,20
566, Self-emp-inc, Masters,43
567, Private, 7th-8th,45
568, Self-emp-not-inc, HS-grad,29
569, Private, Masters,47
570, Private, HS-grad,24
571, Private, HS-grad,51
572, Private, 11th,17
573, Private, Assoc-voc,37
574, Private, Doctorate,27
575, Private, Bachelors,29
576, ?, 12th,18
577, Self-emp-not-inc, Assoc-acdm,36
578, Local-gov, Bachelors,58
579, Self-emp-not-inc, Some-college,26
580, ?, Some-college,65
581, Private, HS-grad,57
582, Private, HS-grad,59
583, Private, HS-grad,27
584, Self-emp-not-inc, Bachelors,31
585, Private, Some-college,21
586, Private, Some-college,29
587, Private, 11th,18
588, Private, 10th,52
589, Self-emp-inc, Bachelors,57
590, ?, HS-grad,42
591, ?, HS-grad,55
592, Private, 7th-8th,60
593, Private, Bachelors,31
594, Private, Bachelors,23
595, Private, HS-grad,27
596, ?, Some-college,23
597, Self-emp-not-inc, Prof-school,42
598, Private, Some-college,25
599, Private, Bachelors,49
600, Private, Bachelors,32
601, Private, Some-college,19
602, Private, 7th-8th,60
603, Local-gov, 9th,42
604, Self-emp-not-inc, Assoc-acdm,35
605, Private, HS-grad,48
606, Private, Masters,51
607, Private, HS-grad,29
608, Local-gov, HS-grad,36
609, Private, 10th,17
610, Private, Masters,52
611, Private, HS-grad,24
612, Private, HS-grad,24
613, Local-gov, Bachelors,26
614, Private, Bachelors,27
615, Private, HS-grad,39
616, Private, HS-grad,30
617, Self-emp-not-inc, HS-grad,50
618, Self-emp-inc, Bachelors,52
619, Private, Prof-school,46
620, Private, Bachelors,23
621, Private, 11th,45
622, Private, 9th,65
623, Private, Assoc-voc,29
624, Private, 9th,47
625, Private, HS-grad,30
626, Private, HS-grad,34
627, Self-emp-not-inc, HS-grad,38
628, Private, Some-college,33
629, Private, Bachelors,49
630, Self-emp-not-inc, Some-college,47
631, Local-gov, 10th,49
632, Private, Some-college,43
633, Private, Bachelors,30
634, Self-emp-not-inc, HS-grad,58
635, Private, HS-grad,19
636, Private, Bachelors,21
637, Private, Bachelors,33
638, Self-emp-inc, 5th-6th,47
639, Self-emp-not-inc, Doctorate,52
640, Private, HS-grad,26
641, Private, HS-grad,60
642, Private, Some-college,21
643, Private, Some-college,36
644, Private, Some-college,31
645, Self-emp-inc, Doctorate,50
646, Local-gov, HS-grad,31
647, Private, HS-grad,71
648, ?, HS-grad,58
649, State-gov, Bachelors,30
650, Private, Some-college,20
651, Private, HS-grad,24
652, Private, Doctorate,35
653, State-gov, Some-college,38
654, Private, HS-grad,27
655, State-gov, Some-college,29
656, ?, 9th,70
657, Private, HS-grad,34
658, Private, 7th-8th,44
659, Private, HS-grad,43
660, Self-emp-not-inc, 12th,44
661, Private, Masters,35
662, Private, Some-college,27
663, Local-gov, Masters,43
664, Private, Some-college,20
665, Private, Assoc-acdm,42
666, State-gov, Some-college,27
667, Private, HS-grad,42
668, ?, 11th,20
669, Private, 9th,24
670, Federal-gov, Some-college,48
671, ?, 11th,17
672, Self-emp-not-inc, 11th,17
673, Private, Bachelors,33
674, Self-emp-inc, HS-grad,50
675, Private, HS-grad,22
676, Private, 12th,17
677, Private, Some-college,32
678, Private, HS-grad,31
679, Self-emp-not-inc, HS-grad,58
680, Local-gov, HS-grad,29
681, Private, Assoc-voc,37
682, Self-emp-not-inc, HS-grad,34
683, Local-gov, Some-college,23
684, State-gov, 11th,18
685, Private, HS-grad,34
686, ?, 7th-8th,66
687, Local-gov, Bachelors,45
688, Private, Masters,41
689, Private, HS-grad,26
690, Local-gov, Some-college,54
691, Private, Some-college,24
692, Private, Some-college,42
693, Private, Some-college,20
694, State-gov, Bachelors,23
695, ?, Assoc-acdm,25
696, Private, Masters,35
697, Private, Masters,31
698, Private, Bachelors,30
699, Private, HS-grad,19
700, Local-gov, Bachelors,36
701, Private, Bachelors,31
702, Private, Some-college,21
703, Self-emp-not-inc, Some-college,31
704, Private, Doctorate,46
705, Private, Bachelors,44
706, Private, 12th,40
707, Private, Some-college,45
708, Private, HS-grad,60
709, Private, 11th,18
710, Private, Bachelors,28
711, Private, Some-college,36
712, Private, Bachelors,36
713, Private, Assoc-voc,40
714, Local-gov, Bachelors,36
715, Private, HS-grad,31
716, Private, HS-grad,33
717, State-gov, HS-grad,19
718, Private, Some-college,22
719, Private, Bachelors,34
720, Private, HS-grad,33
721, Private, HS-grad,41
722, Private, Bachelors,29
723, Local-gov, HS-grad,50
724, Private, Bachelors,42
725, Private, Bachelors,43
726, Private, HS-grad,44
727, Private, Some-college,20
728, Private, HS-grad,31
729, Self-emp-not-inc, 11th,65
730, Private, Some-college,23
731, Private, Some-college,55
732, Private, Assoc-voc,26
733, Private, Assoc-voc,25
734, ?, Some-college,45
735, Private, Some-college,35
736, Private, Some-college,36
737, State-gov, Bachelors,43
738, Private, HS-grad,56
739, Private, Bachelors,42
740, Private, Some-college,19
741, Self-emp-not-inc, HS-grad,55
742, Private, Masters,42
743, Private, Assoc-voc,26
744, Private, 12th,17
745, Local-gov, Bachelors,42
746, Private, HS-grad,55
747, Private, Some-college,32
748, Private, 11th,29
749, State-gov, Bachelors,46
750, State-gov, Bachelors,29
751, Private, Bachelors,22
752, Self-emp-not-inc, 10th,58
753, Private, HS-grad,23
754, Private, HS-grad,39
755, Private, Assoc-voc,27
756, Private, HS-grad,54
757, Local-gov, Bachelors,33
758, Federal-gov, HS-grad,46
759, Private, HS-grad,37
760, Private, HS-grad,36
761, Local-gov, HS-grad,59
762, Local-gov, HS-grad,34
763, Self-emp-inc, Doctorate,53
764, Private, Bachelors,51
765, Private, 10th,32
766, State-gov, Some-college,31
767, Private, Some-college,22
768, Self-emp-not-inc, Bachelors,47
769, Private, HS-grad,32
770, Private, Some-college,26
771, Private, 5th-6th,37
772, Private, HS-grad,31
773, Private, Assoc-voc,37
774, Private, HS-grad,55
775, Local-gov, Assoc-voc,23
776, Private, Some-college,36
777, Private, Masters,34
778, Private, Bachelors,43
779, Private, Some-college,54
780, State-gov, Some-college,43
781, Private, Assoc-voc,28
782, Private, Assoc-voc,40
783, Self-emp-not-inc, Some-college,41
784, Private, Bachelors,40
785, Private, Some-college,42
786, Self-emp-not-inc, HS-grad,61
787, Private, 12th,18
788, ?, HS-grad,59
789, ?, HS-grad,21
790, Private, Assoc-voc,48
791, Self-emp-inc, Bachelors,41
792, ?, Some-college,18
793, Private, HS-grad,23
794, Private, HS-grad,60
795, Private, Some-college,22
796, Private, HS-grad,61
797, Private, HS-grad,25
798, Private, Masters,46
799, Private, Bachelors,43
800, Private, Assoc-acdm,43
801, Private, HS-grad,24
802, Self-emp-not-inc, 11th,68
803, Private, HS-grad,31
804, Private, 11th,17
805, Private, HS-grad,32
806, ?, Masters,50
807, Private, Bachelors,33
808, Private, Bachelors,64
809, Private, HS-grad,20
810, Private, HS-grad,30
811, ?, Some-college,22
812, Private, Some-college,43
813, Private, Some-college,22
814, Private, 10th,17
815, Self-emp-not-inc, HS-grad,47
816, Private, Assoc-voc,41
817, Private, Some-college,56
818, Private, HS-grad,64
819, Private, HS-grad,47
820, Private, Assoc-voc,48
821, Private, Masters,31
822, Private, Assoc-voc,29
823, Private, HS-grad,30
824, Private, HS-grad,32
825, Private, HS-grad,57
826, Private, HS-grad,62
827, Private, HS-grad,39
828, Private, Some-college,43
829, Self-emp-inc, Bachelors,24
830, ?, 11th,42
831, Private, Some-college,53
832, Private, Some-college,26
833, Self-emp-not-inc, HS-grad,73
834, ?, 11th,72
835, Private, HS-grad,55
836, Private, HS-grad,25
837, Private, Bachelors,41
838, Private, Bachelors,24
839, Private, HS-grad,63
840, Private, 11th,17
841, Private, Some-college,35
842, Private, Some-college,51
843, Local-gov, Bachelors,62
844, Private, HS-grad,55
845, Private, Some-college,43
846, Local-gov, HS-grad,40
847, Private, Bachelors,37
848, Private, Bachelors,39
849, Private, HS-grad,31
850, Private, Masters,61
851, Private, Assoc-voc,26
852, Self-emp-not-inc, HS-grad,46
853, Private, Bachelors,26
854, State-gov, Doctorate,48
855, Private, HS-grad,34
856, Local-gov, HS-grad,34
857, Private, HS-grad,59
858, Private, Bachelors,34
859, Private, Bachelors,49
860, Private, 11th,18
861, Private, HS-grad,43
862, Private, 11th,48
863, Self-emp-inc, Some-college,28
864, Private, HS-grad,33
865, Private, Some-college,24
866, Private, 10th,21
867, Private, 11th,17
868, Private, Some-college,39
869, Self-emp-not-inc, Bachelors,29
870, Private, Bachelors,44
871, Private, Some-college,24
872, Self-emp-not-inc, Masters,71
873, Self-emp-not-inc, Bachelors,51
874, Private, 5th-6th,55
875, Private, Bachelors,41
876, Private, HS-grad,23
877, Private, Assoc-voc,38
878, Private, HS-grad,39
879, Private, HS-grad,19
880, Private, 9th,49
881, Private, Bachelors,32
882, Private, HS-grad,27
883, Private, Bachelors,38
884, Private, Some-college,33
885, ?, Some-college,63
886, Private, Bachelors,23
887, Self-emp-inc, Some-college,33
888, Self-emp-not-inc, HS-grad,54
889, Private, Assoc-voc,29
890, ?, Some-college,48
891, Self-emp-not-inc, Bachelors,35
892, Private, Assoc-voc,28
893, Private, Bachelors,37
894, Self-emp-not-inc, Prof-school,42
895, Private, Masters,40
896, Private, Some-college,47
897, Private, Bachelors,22
898, Private, Bachelors,30
899, Private, HS-grad,28
900, Local-gov, 7th-8th,63
901, Self-emp-not-inc, 9th,51
902, Private, HS-grad,22
903, ?, Assoc-acdm,27
904, Private, HS-grad,35
905, Private, HS-grad,46
906, Private, Some-college,37
907, Private, Bachelors,24
908, Self-emp-not-inc, HS-grad,37
909, Private, Some-college,53
910, Private, HS-grad,27
911, Private, Some-college,38
912, Self-emp-not-inc, 10th,53
913, Private, Some-college,34
914, Private, HS-grad,23
915, Private, Bachelors,39
916, Private, Masters,43
917, Self-emp-inc, HS-grad,67
918, Self-emp-not-inc, HS-grad,81
919, Private, Some-college,21
920, Private, Some-college,23
921, Private, Some-college,25
922, Private, 5th-6th,42
923, Private, Some-college,38
924, ?, HS-grad,64
925, Private, HS-grad,32
926, Private, HS-grad,37
927, Private, Masters,51
928, Private, Some-college,22
929, Private, 1st-4th,33
930, Private, HS-grad,42
931, ?, Some-college,19
932, Local-gov, Preschool,51
933, Private, HS-grad,23
934, Private, 11th,37
935, Private, HS-grad,37
936, Private, Masters,47
937, Private, Prof-school,41
938, Private, HS-grad,33
939, Private, Bachelors,31
940, Private, Assoc-acdm,31
941, Private, HS-grad,35
942, Self-emp-inc, HS-grad,38
943, Private, HS-grad,18
944, Private, HS-grad,20
945, Local-gov, Some-college,54
946, Private, Some-college,40
947, Self-emp-inc, Bachelors,36
948, Private, Some-college,43
949, Self-emp-not-inc, Some-college,44
950, State-gov, HS-grad,44
951, Private, Masters,43
952, Private, 7th-8th,51
953, Private, HS-grad,18
954, Private, Some-college,51
955, Private, 10th,41
956, Self-emp-inc, Some-college,44
957, Local-gov, 10th,33
958, Self-emp-not-inc, Bachelors,33
959, Private, Assoc-acdm,42
960, Private, Some-college,25
961, Private, HS-grad,32
962, Private, Bachelors,32
963, Private, 10th,36
964, Private, HS-grad,28
965, Private, HS-grad,20
966, Self-emp-inc, Some-college,35
967, Self-emp-not-inc, HS-grad,55
968, Private, Bachelors,48
969, ?, Assoc-voc,36
970, Private, HS-grad,34
971, Private, Bachelors,28
972, Private, Bachelors,67
973, Private, HS-grad,37
974, Private, HS-grad,44
975, Private, Some-college,25
976, Private, Some-college,21
977, State-gov, Masters,40
978, Private, HS-grad,78
979, Private, HS-grad,34
980, Private, HS-grad,49
981, Private, Assoc-acdm,22
982, ?, HS-grad,23
983, Self-emp-not-inc, HS-grad,60
984, Local-gov, HS-grad,45
985, Private, Assoc-voc,63
986, Private, HS-grad,41
987, Private, HS-grad,47
988, Private, HS-grad,44
989, Private, Some-college,51
990, Private, Bachelors,46
991, Private, Assoc-voc,41
992, Self-emp-not-inc, HS-grad,50
993, Private, HS-grad,47
994, Private, HS-grad,35
995, Private, HS-grad,56
996, Private, Masters,45
997, Federal-gov, Bachelors,48
998, Private, Some-college,40
999, Self-emp-inc, Bachelors,39
1000, Private, Some-college,20
1001, Private, Doctorate,50
1002, State-gov, HS-grad,38
